Area,"CO2 (Kt)",Sector,Date
Seattle,651.135467,Industry,2024-01
Seoul,2363.605533,Industry,2024-01
Shanghai,27404.399610,Industry,2024-01
Stockholm,55.459964,Industry,2024-01
Sydney,762.120807,Industry,2024-01
Tokyo,3875.845785,Industry,2024-01
Total,87042.847767,Industry,2024-01
Washington,1170.506521,Industry,2024-01
Amsterdam,21.547542,Power,2024-01
Bangkok,7.913882,Power,2024-01
Barcelona,81.910407,Power,2024-01
Beijing,2439.381352,Power,2024-01
Berlin,323.641731,Power,2024-01
Bogota,0.800188,Power,2024-01
"Cape Town",0.071420,Power,2024-01
Chengdu,890.521560,Power,2024-01
Chicago,1982.488001,Power,2024-01
Chongqing,5517.201470,Power,2024-01
Copenhagen,26.931093,Power,2024-01
Hangzhou,647.149977,Power,2024-01
Helsinki,301.404751,Power,2024-01
Houston,2509.140098,Power,2024-01
Istanbul,42.087304,Power,2024-01
Jinan,3662.677394,Power,2024-01
London,139.665938,Power,2024-01
"Los Angeles",1397.183790,Power,2024-01
Lyon,11.524687,Power,2024-01
Madrid,6.556224,Power,2024-01
Marseille,0.000000,Power,2024-01
Melbourne,57.332036,Power,2024-01
"Mexico City",452.285200,Power,2024-01
Miami,486.733616,Power,2024-01
Milan,79.595290,Power,2024-01
Moscow,4996.907773,Power,2024-01
Munich,223.792689,Power,2024-01
Nanjing,3058.235687,Power,2024-01
"New Delhi",370.955150,Power,2024-01
"New York",2428.940696,Power,2024-01
Nice,0.000000,Power,2024-01
Osaka,2636.640088,Power,2024-01
Oslo,0.425584,Power,2024-01
Paris,80.774670,Power,2024-01
Qingdao,230.799959,Power,2024-01
Rome,12.089773,Power,2024-01
"San Francisco",794.105820,Power,2024-01
Santiago,79.999847,Power,2024-01
Seattle,56.989298,Power,2024-01
Seoul,2063.018977,Power,2024-01
Shanghai,3428.955270,Power,2024-01
Stockholm,9.190419,Power,2024-01
Sydney,43.342695,Power,2024-01
Tokyo,8958.561515,Power,2024-01
Total,50715.230794,Power,2024-01
Washington,155.759942,Power,2024-01
Amsterdam,416.971709,Residential,2024-01
Bangkok,27.436559,Residential,2024-01
Barcelona,284.732721,Residential,2024-01
Beijing,1742.163248,Residential,2024-01
Berlin,1014.449124,Residential,2024-01
Bogota,78.418861,Residential,2024-01
"Cape Town",73.330700,Residential,2024-01
Chengdu,1127.284253,Residential,2024-01
Chicago,2289.332638,Residential,2024-01
Chongqing,2363.391743,Residential,2024-01
Copenhagen,77.013915,Residential,2024-01
Hangzhou,732.781364,Residential,2024-01
Helsinki,68.695356,Residential,2024-01
Houston,1346.579826,Residential,2024-01
Istanbul,1573.023992,Residential,2024-01
Jinan,551.071311,Residential,2024-01
London,1731.707872,Residential,2024-01
"Los Angeles",4502.769618,Residential,2024-01
Lyon,161.670915,Residential,2024-01
Madrid,480.058505,Residential,2024-01
Marseille,132.499223,Residential,2024-01
Melbourne,116.416705,Residential,2024-01
"Mexico City",757.167175,Residential,2024-01
Miami,1408.674698,Residential,2024-01
Milan,242.463785,Residential,2024-01
Moscow,2458.646054,Residential,2024-01
Munich,370.675833,Residential,2024-01
Nanjing,678.278067,Residential,2024-01
"New Delhi",629.776321,Residential,2024-01
"New York",3834.553346,Residential,2024-01
Nice,36.949370,Residential,2024-01
Osaka,2252.737632,Residential,2024-01
Oslo,13.439490,Residential,2024-01
Paris,1787.365265,Residential,2024-01
Qingdao,534.862176,Residential,2024-01
Rome,516.456558,Residential,2024-01
"San Francisco",1443.382620,Residential,2024-01
Santiago,119.938570,Residential,2024-01
Seattle,842.081257,Residential,2024-01
Seoul,4022.477982,Residential,2024-01
Shanghai,1911.689202,Residential,2024-01
